"SGG_CD","SE_CD","FCLT_CD","FCLT_NM","FCLT_DSGN_DAY","FCLT_SE_CD","EMD_CD","EMD_NM","FCLT_ADDR_LOTNO","FCLT_SCL","SCL_UNIT","FCLT_ADDR_RONA","LOT_PROVIN","LOT_MIN","LOT_SEC","LAT_PROVIN","LAT_MIN","LAT_SEC","GRND_UDGD_SE","SHNT_PSBLTY_NOPE","OPN_YN","MNG_INST_NM","ORTM_UTLZ_TYPE","MNG_INST_TELNO","ROAD_NM_CD"
"3650000","1","E199300007","중평약수","19930808","1           ","3650043     ","유천1동","대전광역시 중구 유천동 315번지 1호","350","t(톤)","대전광역시 중구 계백로1571번길 46-12 (유천동)","127","23","40","36","19","13","0","0","Y","대전광역시 중구청","식수","042-606-6036","4295037     "
"3060000","1","E201300002","유영빌딩","20130311","4           ","3060123     ","면목본동","서울특별시 중랑구 면목동 87번지 66호","30","t(톤)","서울특별시 중랑구 상봉로 59 (면목동, 유영빌딩)","127","5","36","37","35","28","1","0","Y","서울특별시 중랑구청","생활용수","02-2094-2052","3106004     "
"3060000","1","E202000014","신성기사식당","20200506","3           ","3060123     ","면목본동","서울특별시 중랑구 면목동 105-3","50","t(톤)","서울특별시 중랑구 겸재로 202 (면목동)","127","5","24","37","35","20","0","0","Y","서울특별시 중랑구청","생활용수","02-2094-2052","3005029     "
"3060000","1","E202000013","닭곰탕 서일대본점","20200506","3           ","3060123     ","면목본동","서울특별시 중랑구 면목동 68-11","53","t(톤)","서울특별시 중랑구 상봉로 11 (면목동)","127","5","40","37","35","13","0","0","Y","서울특별시 중랑구청","생활용수","02-2094-2052","3106004     "
"3060000","2","S199600005","신세대프라자(지하주차장 2층)","19960512","3           ","3060123     ","면목본동","서울특별시 중랑구 면목동 100번지 31호","803","㎡","서울특별시 중랑구 겸재로49길 18 (면목동, 신세대프라자)","127","5","26","37","35","23","1","973","Y","서울특별시 중랑구청","지하주차장","02-2094-1601","4118027     "
"3060000","2","S195800001","뉴한두빌라(지하주차장 1층)","19970219","3           ","3060123     ","면목본동","서울특별시 중랑구 면목동 226번지 1호","388","㎡","서울특별시 중랑구 면목로84길 8 (면목동, 뉴한두빌라)","127","5","14","37","35","31","1","470","Y","서울특별시 중랑구청","지하주차장","02-2094-1601","4118254     "
"3060000","2","S201000004","면목아남리치카운티아파트(지하주차장 1층)","20101102","3           ","3060123     ","면목본동","서울특별시 중랑구 면목동 1505번지","4271","㎡","서울특별시 중랑구 겸재로29길 27 (면목동, 아남리치카운티아파트)","127","5","7","37","35","24","1","5176","Y","서울특별시 중랑구청","지하주차장","02-2094-1601","4118015     "
"3060000","2","S200500006","면목본동주민센터(지하주차장 1~2층)","20051116","3           ","3060123     ","면목본동","서울특별시 중랑구 면목동 115번지 18호","1532","㎡","서울특별시 중랑구 면목로 397 (면목동)","127","5","15","37","35","15","1","1856","Y","서울특별시 중랑구청","지하주차장","02-2094-1601","3005027     "
"3060000","2","S199700007","면목역(지하 1~3층)","19970101","3           ","3060123     ","면목본동","서울특별시 중랑구 면목동 282번지 6호","4116","㎡","서울특별시 중랑구 면목로 지하 407 (면목동, 면목역)","127","5","15","37","35","18","1","4989","Y","서울특별시 중랑구청","기타","02-2094-1601","3005027     "
"3060000","2","S201000005","면목마젤란21아파트(지하주차장 1층)","20101102","3           ","3060123     ","면목본동","서울특별시 중랑구 면목동 1531번지","4091","㎡","서울특별시 중랑구 겸재로30길 42 (면목동, 면목마젤란21아파트)","127","5","3","37","35","14","1","4958","Y","서울특별시 중랑구청","지하주차장","02-2094-1601","4118018     "
"3060000","1","E199800004","세광사우나","19980101","4           ","3060047     ","상봉1동","서울특별시 중랑구 상봉동 202번지 1호","90","t(톤)","서울특별시 중랑구 상봉중앙로1길 12 (상봉동)","127","5","15","37","35","59","0","0","Y","서울특별시 중랑구청","생활용수","02-2094-1690","4118406     "
"3060000","1","E199800003","신내근린공원","19981207","1           ","3060058     ","신내2동","서울특별시 중랑구 신내동 652번지 신내근린공원","180","t(톤)","","127","5","21","37","36","50","0","0","Y","서울특별시 중랑구청","생활용수","02-2094-2420",""
"3881000","1","E200500008","소중 어린이공원","20050128","1           ","3881012     ","소사구 소사본동","경기도 부천시 소사구 소사본동 232번지 31호","130","t(톤)","경기도 부천시 소사구 소사로125번길 36 (소사본동, 윗소사경로당)","126","47","41","37","28","11","0","0","Y","경기도 부천시 소사구청","식수","032-625-6380","4355173     "
"3881000","1","E201800001","산새공원","20180410","2           ","3881012     ","소사구 소사본동","경기도 부천시 소사구 소사본동 산 74번지 4호","50","t(톤)","","126","47","23","37","28","26","0","0","Y","경기도 부천시 소사구청","식수","032-625-6380",""
"3871000","1","E198500012","도당중 내","19851202","1           ","3871019     ","원미구 도당동","경기도 부천시 원미구 도당동 36번지","350","t(톤)","경기도 부천시 원미구 부천로366번길 19 (도당동)","126","47","12","37","31","0","0","0","Y","경기도 부천시 원미구청","식수","032-625-7000","4352178     "
"3871000","1","E201800015","경동타일","20181025","4           ","3871016     ","원미구 역곡1동","경기도 부천시 원미구 역곡동 175번지 1호","80","t(톤)","","126","48","34","37","29","36","0","0","Y","경기도 부천시 원미구청","생활용수","032-625-7000",""
